"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
-1.03186307759382,5.66967693868725,-5.04490269243981,4.55878041112688e-06,0.000513090735272331,4.04603917158017,"RAPGEF4","Down","RAPGEF4"
0.703562764280001,4.61001807372999,5.03242998744906,4.77155837006677e-06,0.000529941682112744,4.00332162280128,"HOMER1","NS",""
-0.334103164241886,5.34632961987873,-5.03203245143863,4.77849804672147e-06,0.000529941682112744,4.00196075994059,"KIAA1671","NS",""
0.225130108034715,5.63141846655115,5.03026930054076,4.80939649312194e-06,0.000529941682112744,3.99592555010655,"UBE2D2","NS",""
-0.415575644560005,5.11318822433398,-5.02631121158927,4.87947634503752e-06,0.000533929922005251,3.98238003103284,"CRYL1","NS",""
0.807880965141258,5.28493592388663,5.01714154110033,5.04570324697419e-06,0.000548311352155671,3.95101467554125,"SULF2","NS",""
1.22501892740274,3.29525148319163,5.01428459949813,5.09862006440963e-06,0.000550266824348647,3.94124677037041,"APLP1","Up","APLP1"
0.600309249674913,4.15199678834901,5.011265561012,5.15513115445885e-06,0.000552580963270804,3.93092694285116,"FANCI","NS",""
0.656456788481856,3.99222916461112,5.0058811373459,5.25744776279781e-06,0.000559740570259494,3.91252748725047,"CENPF","NS",""
0.296142448408917,5.94392682526308,4.99850932640192,5.40076754065128e-06,0.000571140229114377,3.8873489985275,"ZNF12","NS",""
-0.462581224484206,7.27987846607305,-4.99474975145243,5.47532878669342e-06,0.000575165037946188,3.87451357975742,"ACADVL","NS",""
0.494085959751733,4.75463942053138,4.9912480223465,5.54568429005053e-06,0.000578697664624677,3.86256177991879,"DHFR","NS",""
-1.06266185189678,6.67659965537347,-4.98887585424704,5.59384821626692e-06,0.00057988333120867,3.85446712168509,"HOXA5","Down","HOXA5"
0.484575336484882,4.85178266988829,4.98600248794281,5.6527381966732e-06,0.000582158142254769,3.84466417535241,"MANEAL","NS",""
0.937145553098738,3.90918461995849,4.98220915393044,5.73141534645661e-06,0.000586427997494265,3.83172593000823,"CCNA2","NS",""
-0.471330089046327,5.96925942673089,-4.96947061908205,6.00356566318942e-06,0.000610310865515327,3.78830525971171,"CAT","NS",""
-0.376008872989717,5.0667276266202,-4.96087088521469,6.19441893518681e-06,0.000625676020267555,3.75901641947444,"RILP","NS",""
0.39848504376025,4.92520007026208,4.95252333336742,6.38536151420214e-06,0.000637779811427791,3.73060528351682,"FANCG","NS",""
